YEAR,AGE_GROUP,LEADING_CAUSES_OF_DEATH,FATALITIES
1991,Ages 5-14,Congenital anomalies,18
1991,Ages 5-14,Infantile cerebral palsy,16
1991,Ages 5-14,Suicide,13
1991,Ages 5-14,Cerebrovascular disease,8
1991,Ages 5-14,Chronic obstructive pulmonary diseases and other allied conditions,7
1991,Ages 5-14,HIV infection,4
1991,Ages 15-24,All Causes,1748
1991,Ages 15-24,Unintentional injuries,625
1991,Ages 15-24,Unintentional injuries: motor vehicle,434
1991,Ages 15-24,Unintentional injuries: all other,191
1991,Ages 15-24,Homicide,509
1991,Ages 15-24,Suicide,211
1991,Ages 15-24,Malignant neoplasms,71
1991,Ages 15-24,Heart disease,67
1991,Ages 15-24,Congenital anomalies,25
1991,Ages 15-24,HIV infection,21
1991,Ages 15-24,Pneumonia and influenza,20
1991,Ages 15-24,Chronic obstructive pulmonary diseases and other allied conditions,16
1991,Ages 15-24,Injuries undetermined origin whether accidentally or purposely inflicted,12
1991,Ages 15-24,Cerebrovascular disease,12
1991,Ages 25-44,All Causes,6735
1991,Ages 25-44,Unintentional injuries,1182
1991,Ages 25-44,Unintentional injuries: motor vehicle,579
1991,Ages 25-44,Unintentional injuries: all other,603
1991,Ages 25-44,Malignant neoplasms,1009
1991,Ages 25-44,Heart disease,866
1991,Ages 25-44,HIV infection,798
1991,Ages 25-44,Homicide,630
1991,Ages 25-44,Suicide,447
1991,Ages 25-44,Chronic liver disease and cirrhosis,326
1991,Ages 25-44,Cerebrovascular disease,164
1991,Ages 25-44,Pneumonia and influenza,133
1991,Ages 25-44,Diabetes mellitus,114
1991,Ages 45-64,All Causes,17462
1991,Ages 45-64,Malignant neoplasms,6384
1991,Ages 45-64,Heart disease,5179
1991,Ages 45-64,Cerebrovascular disease,694
1991,Ages 45-64,Unintentional injuries,563
1991,Ages 45-64,Unintentional injuries: motor vehicle,260
1991,Ages 45-64,Unintentional injuries: all other,303
1991,Ages 45-64,Chronic obstructive pulmonary diseases and other allied conditions,552
1991,Ages 45-64,Chronic liver disease and cirrhosis,547
1991,Ages 45-64,Diabetes mellitus,470
1991,Ages 45-64,Pneumonia and Influenza,295
1991,Ages 45-64,Suicide,267
1991,Ages 45-64,HIV infection,202
1991,Age 65 and Older,All Causes,75067
1991,Age 65 and Older,Heart disease,29375
1991,Age 65 and Older,Malignant neoplasms,16842
1991,Age 65 and Older,Cerebrovascular disease,5995
1991,Age 65 and Older,Pneumonia and influenza,3427
1991,Age 65 and Older,Chronic obstructive pulmonary disease,3267
1991,Age 65 and Older,Diabetes mellitus,1713
1991,Age 65 and Older,Nephritis,1142
1991,Age 65 and Older,Unintentional injuries,1003
1991,Age 65 and Older,Unintentional injuries: motor vehicle,273
1991,Age 65 and Older,Unintentional injuries: all other,730
1991,Age 65 and Older,Septicemia,881
1991,Age 65 and Older,Alzheimer's disease,697
1992,All Ages,All Causes,101861
1992,All Ages,Heart disease,34293
1992,All Ages,Malignant neoplasms,24616
1992,All Ages,Cerebrovascular disease,6886
1992,All Ages,Chronic obstructive pulmonary diseases and allied conditions,3850
1992,All Ages,Pneumonia and influenza,3596
1992,All Ages,Unintentional injuries,3400
1992,All Ages,Unintentional injuries: motor vehicle,1520
1992,All Ages,Unintentional injuries: all other,1880
1992,All Ages,Diabetes mellitus,2366
1992,All Ages,Homicide,1435
1992,All Ages,Nephritis,1390
1992,All Ages,Cirrhosis of liver,1256
1992,All Ages,HIV infection,1212
1992,All Ages,Suicide,1126
1992,Ages 1-4,All Causes,311
1992,Ages 1-4,Unintentional injuries,103
1992,Ages 1-4,Unintentional injuries: motor vehicle,24
1992,Ages 1-4,Unintentional injuries: all other,79
1992,Ages 1-4,Congenital anomalies,44
1992,Ages 1-4,Homicide,29
1992,Ages 1-4,Malignant neoplasms,22
1992,Ages 1-4,Heart disease,17
1992,Ages 1-4,Pneumonia and influenza,12
1992,Ages 1-4,Certain conditions originating in the perinatal period,4
1992,Ages 1-4,Benign neoplasms,4
1992,Ages 1-4,Infantile cerebral palsy,3
1992,Ages 1-4,Chronic obstructive pulmonary diseases and allied conditions,3
1992,Ages 5-14,All Causes,372
1992,Ages 5-14,Unintentional injuries,118
1992,Ages 5-14,Unintentional injuries: motor vehicle,58
1992,Ages 5-14,Unintentional injuries: all other,60
1992,Ages 5-14,Malignant neoplasms,63
1992,Ages 5-14,Homicide,44
1992,Ages 5-14,Congenital anomalies,19
1992,Ages 5-14,Infantile cerebral palsy,15
1992,Ages 5-14,Suicide,13
1992,Ages 5-14,Heart disease,11
1992,Ages 5-14,Chronic obstructive pulmonary diseases and other allied conditions,11
1992,Ages 5-14,Benign neoplasms,7
1992,Ages 5-14,Pneumonia and influenza,6
1992,Ages 15-24,All Causes,1642
1992,Ages 15-24,Homicide,539
1992,Ages 15-24,Unintentional injury,535
1992,Ages 15-24,Unintentional injuries: motor vehicle,392
1992,Ages 15-24,Unintentional injuries: all other,143
1992,Ages 15-24,Suicide,165
1992,Ages 15-24,Malignant neoplasms,73
1992,Ages 15-24,Heart disease,61
1992,Ages 15-24,Congenital anomalies,23
1992,Ages 15-24,HIV infection,23
1992,Ages 15-24,Injuries undetermined origin whether accidentally or purposely inflicted,21
1992,Ages 15-24,Chronic obstructive pulmonary diseases and other allied conditions,15
1992,Ages 15-24,Muscular dystrophy,12
1992,Ages 25-44,All Causes,6700
1992,Ages 25-44,Unintentional injuries,1133
1992,Ages 25-44,Unintentional injuries: motor vehicle,531
1992,Ages 25-44,Unintentional injuries: all other,602
1992,Ages 25-44,Malignant neoplasms,1012
1992,Ages 25-44,HIV infection,898
1992,Ages 25-44,Heart disease,792
1992,Ages 25-44,Homicide,602
1992,Ages 25-44,Suicide,458
1992,Ages 25-44,Chronic liver disease and cirrhosis,276
1992,Ages 25-44,Cerebrovascular disease,173
1992,Ages 25-44,Pneumonia and influenza,140
1992,Ages 25-44,Diabetes mellitus,98
1992,Ages 45-64,All Causes,17122
1992,Ages 45-64,Malignant neoplasms,6352
1992,Ages 45-64,Heart disease,5016
1992,Ages 45-64,Cerebrovascular disease,687
1992,Ages 45-64,Unintentional injuries,584
1992,Ages 45-64,Unintentional injuries: motor vehicle,257
1992,Ages 45-64,Unintentional injuries: all other,327
1992,Ages 45-64,Chronic liver disease and cirrhosis,496
1992,Ages 45-64,Chronic obstructive pulmonary disease and other allied conditions,487
1992,Ages 45-64,Diabetes mellitus,459
1992,Ages 45-64,Pneumonia and influenza,266
1992,Ages 45-64,HIV infection,260
1992,Ages 45-64,Suicide,256
1992,Age 65 and Older,All Causes,73803
1992,Age 65 and Older,Heart disease,28375
1992,Age 65 and Older,Malignant neoplasms,17090
1992,Age 65 and Older,Cerebrovascular disease,6004
1992,Age 65 and Older,Chronic obstructive pulmonary disease and other allied diseases,3272
1992,Age 65 and Older,Pneumonia and influenza,3127
1992,Age 65 and Older,Diabetes mellitus,1800
1992,Age 65 and Older,Nephritis,1169
1992,Age 65 and Older,Unintentional injuries,884
1992,Age 65 and Older,Unintentional injuries: motor vehicle,253
1992,Age 65 and Older,Unintentional injuries: all other,631
1992,Age 65 and Older,Septicemia,857
1992,Age 65 and Older,Alzheimer's disease,587
1993,All Ages,All Causes,106875
1993,All Ages,Heart disease,35624
1993,All Ages,Malignant neoplasms,25263
1993,All Ages,Cerebrovascular disease,7291
1993,All Ages,Chronic obstructive pulmonary diseases and other allied conditions,4312
1993,All Ages,Pneumonia and influenza,4021
1993,All Ages,Unintentional injuries,3717
1993,All Ages,Unintentional injuries: motor vehicle,1558
1993,All Ages,Unintentional injuries: all other,2159
1993,All Ages,Diabetes mellitus,2474
1993,All Ages,Nephritis,1483
1993,All Ages,HIV infection,1439
1993,All Ages,Homicide,1435
1993,All Ages,Cirrhosis of liver,1250
1993,All Ages,Suicide,1149
1993,Ages 1-4,All Causes,301
1993,Ages 1-4,Unintentional injuries,87
1993,Ages 1-4,Unintentional injuries: motor vehicle,24
1993,Ages 1-4,Unintentional injuries: all other,63
1993,Ages 1-4,Malignant neoplasms,35
1993,Ages 1-4,Congenital anomalies,34
1993,Ages 1-4,Homicide,26
1993,Ages 1-4,Heart disease,11
1993,Ages 1-4,Pneumonia and influenza,11
1993,Ages 1-4,Infantile cerebral palsy,10
1993,Ages 1-4,Certain conditions originating in the perinatal period,6
1993,Ages 1-4,Chronic obstructive pulmonary diseases and allied conditions,5
1993,Ages 1-4,Septicemia,5
1993,Ages 5-14,All Causes,400
1993,Ages 5-14,Unintentional injuries,137
1993,Ages 5-14,Unintentional injuries: motor vehicle,67
1993,Ages 5-14,Unintentional injuries: all other,70
1993,Ages 5-14,Malignant neoplasms,52
1993,Ages 5-14,Homicide,47
1993,Ages 5-14,Congenital anomalies,19
1993,Ages 5-14,Heart disease,16
1993,Ages 5-14,Chronic obstructive pulmonary diseases and other allied conditions,14
1993,Ages 5-14,Suicide,12
1993,Ages 5-14,Infantile cerebral palsy,11
1993,Ages 5-14,Pneumonia and influenza,7
1993,Ages 5-14,Anemias,6
1993,Ages 5-14,Cerebrovascular,6
1993,Ages 15-24,All Causes,1741
1993,Ages 15-24,Unintentional injuries,578
1993,Ages 15-24,Unintentional injuries: motor vehicle,403
1993,Ages 15-24,Unintentional injuries: all other,175
1993,Ages 15-24,Homicide,560
1993,Ages 15-24,Suicide,167
1993,Ages 15-24,Malignant neoplasms,79
1993,Ages 15-24,Heart disease,71
1993,Ages 15-24,HIV infection,29
1993,Ages 15-24,Injuries undetermined origin whether accidentally or purposely inflicted,28
1993,Ages 15-24,Congenital anomalies,26
1993,Ages 15-24,Chronic obstructive pulmonary diseases and other allied conditions,19
1993,Ages 15-24,Pneumonia and influenza,16
1993,Ages 25-44,All Causes,7054
1993,Ages 25-44,Unintentional injuries,1250
1993,Ages 25-44,Unintentional injuries: motor vehicle,535
1993,Ages 25-44,Unintentional injuries: all other,715
1993,Ages 25-44,Malignant neoplasms,1054
1993,Ages 25-44,HIV infection,1047
1993,Ages 25-44,Heart disease,851
1993,Ages 25-44,Homicide,576
1993,Ages 25-44,Suicide,464
1993,Ages 25-44,Chronic liver disease and cirrhosis,268
1993,Ages 25-44,Cerebrovascular disease,169
1993,Ages 25-44,Pneumonia and influenza,136
1993,Ages 25-44,Diabetes mellitus,110
1993,Ages 45-64,All Causes,17425
1993,Ages 45-64,Malignant neoplasms,6405
1993,Ages 45-64,Heart disease,5075
1993,Ages 45-64,Cerebrovascular disease,689
1993,Ages 45-64,Unintentional injuries,609
1993,Ages 45-64,Unintentional injuries: motor vehicle,258
1993,Ages 45-64,Unintentional injuries: all other,351
1993,Ages 45-64,Chronic obstructive pulmonary diseases and other allied conditions,592
1993,Ages 45-64,Diabetes mellitus,497
1993,Ages 45-64,Chronic liver disease and cirrhosis,450
1993,Ages 45-64,HIV infection,326
1993,Ages 45-64,Suicide,277
1993,Ages 45-64,Pneumonia and influenza,252
1993,Age 65 and Older,All Causes,78116
1993,Age 65 and Older,Heart disease,29571
1993,Age 65 and Older,Malignant neoplasms,17629
1993,Age 65 and Older,Cerebrovascular disease,6408
1993,Age 65 and Older,Chronic obstructive pulmonary diseases and other allied conditions,3607
1993,Age 65 and Older,Pneumonia and influenza,3576
1993,Age 65 and Older,Diabetes mellitus,1862
1993,Age 65 and Older,Nephritis,1247
1993,Age 65 and Older,Unintentional injuries,999
1993,Age 65 and Older,Unintentional injuries: motor vehicle,737
1993,Age 65 and Older,Unintentional injuries: all other,262
1993,Age 65 and Older,Septicemia,922
1993,Age 65 and Older,Alzheimer's disease,967
1994,All Ages,All Causes,106911
1994,All Ages,Heart disease,35140
1994,All Ages,Malignant neoplasms,25091
1994,All Ages,Cerebrovascular disease,7437
1994,All Ages,Chronic obstructive pulmonary diseases and other allied conditions,4320
1994,All Ages,Unintentional injuries,4022
1994,All Ages,Unintentional injuries: motor vehicle,1742
1994,All Ages,Unintentional injuries: all other,2280
1994,All Ages,Pneumonia and influenza,3917
1994,All Ages,Diabetes mellitus,2544
1994,All Ages,HIV infection,1482
1994,All Ages,Homicide,1478
1994,All Ages,Nephritis,1445
1994,All Ages,Septicemia,1223
1994,All Ages,Chronic liver disease & cirrhosis,1217
1994,Ages 1-4,All Causes,355
1994,Ages 1-4,Unintentional injuries,123
1994,Ages 1-4,Unintentional injuries: motor vehicle,29
1994,Ages 1-4,Unintentional injuries: all other,94
1994,Ages 1-4,Congenital anomalies,34
1994,Ages 1-4,Malignant neoplasms,32
1994,Ages 1-4,Homicide,22
1994,Ages 1-4,Heart disease,18
1994,Ages 1-4,Pneumonia and influenza,15
1994,Ages 1-4,Certain conditions originating in the perinatal period,10
1994,Ages 1-4,Septicemia,9
1994,Ages 1-4,Infantile cerebral palsy,8
1994,Ages 1-4,HIV infection,7
1994,Ages 5-14,All Causes,413
1994,Ages 5-14,Unintentional injuries,172
1994,Ages 5-14,Unintentional injuries: motor vehicle,95
1994,Ages 5-14,Unintentional injuries: all other,77
1994,Ages 5-14,Homicide,52
1994,Ages 5-14,Malignant neoplasms,35
1994,Ages 5-14,Heart disease,20
1994,Ages 5-14,Congenital anomalies,18
1994,Ages 5-14,Infantile cerebral palsy,13
1994,Ages 5-14,Chronic obstructive pulmonary diseases and other allied conditions,11
1994,Ages 5-14,HIV infection,7
1994,Ages 5-14,Suicide,6
1994,Ages 5-14,Pneumonia and influenza,5
1994,Ages 15-24,All Causes,1796
1994,Ages 15-24,Unintentional injuries,626
1994,Ages 15-24,Unintentional injuries: motor vehicle,480
1994,Ages 15-24,Unintentional injuries: all other,146
1994,Ages 15-24,Homicide,609
1994,Ages 15-24,Suicide,171
1994,Ages 15-24,Malignant neoplasms,64
1994,Ages 15-24,Heart disease,53
1994,Ages 15-24,Chronic obstructive pulmonary diseases and other allied conditions,24
1994,Ages 15-24,HIV infection,21
1994,Ages 15-24,Undetermined origin,20
1994,Ages 15-24,Pneumonia and influenza,18
1994,Ages 15-24,Congenital anomalies,17
1994,Ages 25-44,All Causes,7102
1994,Ages 25-44,Unintentional injuries,1292
1994,Ages 25-44,Unintentional injuries: motor vehicle,561
1994,Ages 25-44,Unintentional injuries: all other,731
1994,Ages 25-44,Malignant neoplasms,1097
1994,Ages 25-44,Heart disease,987
1994,Ages 25-44,HIV infection,823
1994,Ages 25-44,Homicide,599
1994,Ages 25-44,Suicide,434
1994,Ages 25-44,Chronic liver disease and cirrhosis,267
1994,Ages 25-44,Cerebrovascular disease,179
1994,Ages 25-44,Pneumonia and influenza,117
1994,Ages 25-44,Diabetes mellitus,114
1994,Ages 45-64,All Causes,17524
1994,Ages 45-64,Malignant neoplasms,6314
1994,Ages 45-64,Heart disease,5059
1994,Ages 45-64,Cerebrovascular disease,765
1994,Ages 45-64,Unintentional injuries,647
1994,Ages 45-64,Unintentional injuries: motor vehicle,278
1994,Ages 45-64,Unintentional injuries: all other,369
1994,Ages 45-64,Chronic obstructive pulmonary diseases and other allied conditions,548
1994,Ages 45-64,Diabetes mellitus,545
1994,Ages 45-64,Chronic liver disease and cirrhosis,469
1994,Ages 45-64,HIV infection,317
1994,Ages 45-64,Pneumonia and influenza,305
1994,Ages 45-64,Suicide,234
1994,Age 65 and Older,All Causes,78010
1994,Age 65 and Older,Heart disease,29137
1994,Age 65 and Older,Malignant neoplasms,17657
1994,Age 65 and Older,Cerebrovascular disease,6479
1994,Age 65 and Older,Chronic obstructive pulmonary diseases and other allied conditions,3637
1994,Age 65 and Older,Pneumonia and influenza,3431
1994,Age 65 and Older,Diabetes mellitus,1870
1994,Age 65 and Older,Nephritis,1217
1994,Age 65 and Older,Unintentional injuries,1119
1994,Age 65 and Older,Unintentional injuries: motor vehicle,294
1994,Age 65 and Older,Unintentional injuries: all other,825
1994,Age 65 and Older,Septicemia,967
1994,Age 65 and Older,Alzheimer's disease,925
1995,All Ages,All Causes,108089
1995,All Ages,Heart disease,35819
1995,All Ages,Malignant neoplasms,25015
1995,All Ages,Cerebrovascular disease,7511
1995,All Ages,Chronic obstructive pulmonary diseases and other allied conditions,4482
1995,All Ages,Unintentional injuries,4037
1995,All Ages,Unintentional injuries: motor vehicle,1766
1995,All Ages,Unintentional injuries: all other,2271
1995,All Ages,Pneumonia and influenza,3887
1995,All Ages,Diabetes mellitus,2655
1995,All Ages,Nephritis,1569
1995,All Ages,HIV infection,1494
1995,All Ages,Homicide,1323
1995,All Ages,Septicemia,1239
1995,All Ages,Chronic liver disease & cirrhosis,1183
1995,Ages 1-4,All Causes,331
1995,Ages 1-4,Unintentional injuries,112
1995,Ages 1-4,Unintentional injuries: motor vehicle,42
1995,Ages 1-4,Unintentional injuries: all other,70
1995,Ages 1-4,Congenital anomalies,35
1995,Ages 1-4,Homicide,29
1995,Ages 1-4,Malignant neoplasms,23
1995,Ages 1-4,Heart disease,18
1995,Ages 1-4,Pneumonia and influenza,8
1995,Ages 1-4,Infantile cerebral palsy,8
1995,Ages 1-4,Septicemia,7
1995,Ages 1-4,Meningitis,5
1995,Ages 1-4,Certain conditions originating in the perinatal period,4
1995,Ages 5-14,All Causes,398
1995,Ages 5-14,Unintentional injuries,150
1995,Ages 5-14,Unintentional injuries: motor vehicle,87
1995,Ages 5-14,Unintentional injuries: all other,63
1995,Ages 5-14,Homicide,49
1995,Ages 5-14,Malignant neoplasms,44
1995,Ages 5-14,Heart disease,18
1995,Ages 5-14,Congenital anomalies,17
1995,Ages 5-14,Infantile cerebral palsy,12
1995,Ages 5-14,Benign neoplasms,10
1995,Ages 5-14,Suicide,9
1995,Ages 5-14,Muscular dystrophy,7
1995,Ages 5-14,Undetermined origins,6
1995,Ages 5-14,Chronic obstructivepulmonary diseases and other allied conditions,6
1995,Ages 15-24,All Causes,1643
1995,Ages 15-24,Unintentional injuries,581
1995,Ages 15-24,Unintentional injuries: motor vehicle,451
1995,Ages 15-24,Unintentional injuries: all other,130
1995,Ages 15-24,Homicide,514
1995,Ages 15-24,Suicide,187
1995,Ages 15-24,Malignant neoplasms,57
1995,Ages 15-24,Heart disease,50
1995,Ages 15-24,Congenital anomalies,24
1995,Ages 15-24,Pneumonia and influenza,15
1995,Ages 15-24,HIV infection,15
1995,Ages 15-24,Chronic obstructive pulmonary diseases and other allied conditions,15
1995,Ages 25-44,All Causes,6940
1995,Ages 25-44,Unintentional injuries,1253
1995,Ages 25-44,Unintentional injuries: motor vehicle,580
1995,Ages 25-44,Unintentional injuries: all other,673
1995,Ages 25-44,HIV infection,1072
1995,Ages 25-44,Malignant neoplasms,1010
1995,Ages 25-44,Heart disease,859
1995,Ages 25-44,Homicide,529
1995,Ages 25-44,Suicide,442
1995,Ages 25-44,Chronic liver disease and cirrhosis,251
1995,Ages 25-44,Cerebrovascular disease,168
1995,Ages 25-44,Pneumonia and influenza,127
1995,Ages 25-44,Diabetes mellitus,115
1995,Ages 45-64,All Causes,17159
1995,Ages 45-64,Malignant neoplasms,6051
1995,Ages 45-64,Heart disease,5027
1995,Ages 45-64,Unintentional injuries,688
1995,Ages 45-64,Unintentional injuries: motor vehicle,270
1995,Ages 45-64,Unintentional injuries: all other,418
1995,Ages 45-64,Cerebrovascular disease,659
1995,Ages 45-64,Chronic obstructive pulmonary diseases and other allied conditions,567
1995,Ages 45-64,Diabetes mellitus,523
1995,Ages 45-64,Chronic liver disease and cirrhosis,449
1995,Ages 45-64,HIV infection,364
1995,Ages 45-64,Pneumonia and influenza,275
1995,Ages 45-64,Suicide,261
1995,Age 65 and Older,All Causes,79894
1995,Age 65 and Older,Heart disease,29814
1995,Age 65 and Older,Malignant neoplasms,17828
1995,Age 65 and Older,Cerebrovascular disease,6651
1995,Age 65 and Older,Chronic obstructive pulmonary diseases and other allied conditions,3811
1995,Age 65 and Older,Pneumonia and influenza,3426
1995,Age 65 and Older,Diabetes mellitus,2003
1995,Age 65 and Older,Nephritis,1342
1995,Age 65 and Older,Unintentional injuries,1194
1995,Age 65 and Older,Unintentional injuries: motor vehicle,330
1995,Age 65 and Older,Unintentional injuries: all other,864
1995,Age 65 and Older,Alzheimer's disease,1030
1995,Age 65 and Older,Septicemia,985
1996,All Ages,All Causes,105701
1996,All Ages,Heart disease,34271
1996,All Ages,Malignant neoplasms,24693
1996,All Ages,Cerebrovascular disease,7446
1996,All Ages,Chronic obstructive pulmonary diseases and other allied conditions,4427
1996,All Ages,Pneumonia and influenza,3998
1996,All Ages,Unintentional injuries,3762
1996,All Ages,Unintentional injuries: motor vehicle,1679
1996,All Ages,Unintentional injuries: all other,2083
1996,All Ages,Diabetes mellitus,2661
1996,All Ages,Nephritis,1609
1996,All Ages,Septicemia,1326
1996,All Ages,Homicide,1301
1996,All Ages,Chronic liver disease & cirrhosis,1186
1996,All Ages,Alzheimer's disease,1151
1996,Ages 1-4,All Causes,279
1996,Ages 1-4,Unintentional injuries,92
1996,Ages 1-4,Unintentional injuries: motor vehicle,34
1996,Ages 1-4,Unintentional injuries: all other,58
1996,Ages 1-4,Congenital anomalies,28
1996,Ages 1-4,Homicide,21
1996,Ages 1-4,Malignant neoplasms,17
1996,Ages 1-4,Heart disease,16
1996,Ages 1-4,Pneumonia and influenza,15
1996,Ages 1-4,Septicemia,7
1996,Ages 1-4,Certain conditions originating in the perinatal period,6
1996,Ages 1-4,Benign neoplasms,5
1996,Ages 1-4,Infantile cerebral palsy,5
1996,Ages 5-14,All Causes,367
1996,Ages 5-14,Unintentional injuries,135
1996,Ages 5-14,Unintentional injuries: motor vehicle,80
1996,Ages 5-14,Unintentional injuries: all other,55
1996,Ages 5-14,Malignant neoplasms,42
1996,Ages 5-14,Homicide,32
1996,Ages 5-14,Congenital anomalies,25
1996,Ages 5-14,Heart disease,13
1996,Ages 5-14,Infantile cerebral palsy,13
1996,Ages 5-14,Suicide,8
1996,Ages 5-14,Anemia,6
1996,Ages 5-14,Chronic obstructive pulmonary diseases and otehr allied conditions,6
1996,Ages 5-14,Cerebrovascular disease,5
1996,Ages 5-14,Pneumonia and influenza,5
1996,Ages 15-24,All Causes,1563
1996,Ages 15-24,Homicide,553
